URL,STATUS_CODE,ROBOTS_TXT_ALLOWED,META_ROBOTS,CANONICAL_URL,CANONICAL_SELF,IN_SITEMAP,INDEXABILITY_STATUS,REASON,ACTION_REQUIRED
"https://freeaccuratecalculator.com/404.html/",200,true,"noindex,nofollow","https://freeaccuratecalculator.com/404/",false,true,"Excluded (Noindex)","Explicit meta noindex","None (Expected for error pages)"
"https://freeaccuratecalculator.com/about/",200,true,"index,follow","https://freeaccuratecalculator.com/about/",true,true,"Indexable","Clean canonical, allowed in robots, valid status","Maintain and monitor"
"https://freeaccuratecalculator.com/ar/",200,true,"index,follow","https://freeaccuratecalculator.com/ar/",true,true,"Indexable","Clean canonical, allowed in robots, valid status","Maintain and monitor"
"https://freeaccuratecalculator.com/automotive/car-depreciation-calculator/",200,true,"index,follow","https://freeaccuratecalculator.com/automotive/car-depreciation-calculator/",true,true,"Indexable","Clean canonical, allowed in robots, valid status","Maintain and monitor"
"https://freeaccuratecalculator.com/automotive/fuel-cost-calculator/",200,true,"index,follow","https://freeaccuratecalculator.com/automotive/fuel-cost-calculator/",true,true,"Indexable","Clean canonical, allowed in robots, valid status","Maintain and monitor"
"https://freeaccuratecalculator.com/automotive/",200,true,"index,follow","https://freeaccuratecalculator.com/automotive/",true,true,"Indexable","Clean canonical, allowed in robots, valid status","Maintain and monitor"
"https://freeaccuratecalculator.com/automotive/mpg-calculator/",200,true,"index,follow","https://freeaccuratecalculator.com/automotive/mpg-calculator/",true,true,"Indexable","Clean canonical, allowed in robots, valid status","Maintain and monitor"
"https://freeaccuratecalculator.com/biology/bacterial-growth-calculator/",200,true,"index,follow","https://freeaccuratecalculator.com/biology/bacterial-growth-calculator/",true,true,"Indexable","Clean canonical, allowed in robots, valid status","Maintain and monitor"
"https://freeaccuratecalculator.com/biology/hardy-weinberg-calculator/",200,true,"index,follow","https://freeaccuratecalculator.com/biology/hardy-weinberg-calculator/",true,true,"Indexable","Clean canonical, allowed in robots, valid status","Maintain and monitor"
"https://freeaccuratecalculator.com/biology/",200,true,"index,follow","https://freeaccuratecalculator.com/biology/",true,true,"Indexable","Clean canonical, allowed in robots, valid status","Maintain and monitor"
